Thoughtbridge,528-05-4973,$6127249.21,3,1.1,Bello
Topicblab,814-87-2312,$5069093.67,5,2.3,Tunja
Ntag,543-87-9363,$2178932.69,2,3.4,Itagui
Youfeed,455-24-2667,$1301239.57,5,2.5,Armenia
Jabberstorm,667-18-0154,$6687913.26,4,2.0,Giron
Kazu,851-77-0807,$5058233.51,4,4.7,Bucaramanga
Twimm,358-50-9651,$1437665.27,4,2.3,Girardot
Zoombox,255-57-0922,$4535824.50,5,5.0,Yopal
Voonyx,785-66-3310,$4977565.32,2,3.1,Roldanillo
Nlounge,359-70-3651,$3231167.34,5,2.5,Giron
Jabbersphere,346-93-0973,$3952121.11,2,3.5,Fusagasuga
Dazzlesphere,488-19-8539,$6771557.61,5,1.4,Envigado
Bubblemix,607-20-0200,$7432767.29,5,2.3,Floridablanca
Topicblab,876-29-0209,$9222971.70,2,4.2,Riohacha
Zoonder,890-47-6304,$2861143.05,3,2.6,Duitama
Babblestorm,246-45-4776,$9003120.59,1,3.3,Envigado
Roombo,650-86-8002,$5992951.27,3,2.4,El Aguila
Browsebug,641-40-1592,$1344493.77,1,4.2,Riohacha
Aibox,714-53-4505,$5149324.85,1,1.3,Puerto Carreño
Skinix,128-46-4100,$5428279.86,3,1.7,Envigado
Edgewire,473-35-1352,$3620815.90,2,2.5,Soledad
Eamia,223-03-4089,$3813655.02,4,1.4,Zipaquira
Skynoodle,604-57-1694,$2189528.52,5,3.0,Leticia
Myworks,485-03-2871,$9167372.44,1,1.2,Puerto Carreño
Skinix,637-35-5494,$1137893.04,3,3.9,Bello
Photobean,712-89-7284,$5528975.66,5,4.2,Roldanillo
Quatz,697-11-2788,$7837029.65,1,4.7,Medellin
Realmix,648-38-4968,$4701904.29,3,4.4,Fusagasuga
Meezzy,216-06-4162,$6995533.95,3,1.6,Barrancabermeja
Fadeo,346-61-9796,$949457.12,3,4.9,Armenia
Eimbee,356-83-3955,$5049699.16,4,4.1,Pasto
Twimm,338-56-7807,$8247550.62,4,4.1,Tulua
JumpXS,194-48-5168,$6515346.30,1,1.5,El Aguila
Camido,481-92-3015,$9604373.05,5,2.0,Fusagasuga
Flashset,303-13-1538,$1758777.05,3,3.8,Duitama
Youspan,819-38-0911,$8051838.59,1,1.2,Bucaramanga
Zoomzone,479-07-1394,$1309604.99,5,2.6,Bellavista
Viva,171-90-8387,$4428585.84,4,2.4,Soacha
Feednation,334-94-7393,$4140929.31,2,1.1,Bello
Skinte,638-43-1370,$9916999.86,5,2.4,Tunja
Zava,782-47-5681,$7838720.91,3,2.2,Barrancabermeja
Lajo,170-31-5610,$6229402.99,4,1.3,Yopal
Gevee,153-92-6110,$1056225.01,3,3.8,Yopal
Skynoodle,325-13-4619,$8813473.07,4,3.0,Bogota
Eabox,685-47-4680,$2987982.85,4,4.3,Barrancabermeja
Rhynyx,265-81-4145,$1858541.43,2,4.7,Popayan
Realpoint,218-99-2565,$8001543.31,5,4.6,Neiva
Mita,614-13-1934,$5055149.96,2,2.4,Bogota
Feedmix,556-86-0139,$5361558.36,4,4.3,Monteria
Kimia,383-07-3487,$8306950.82,5,3.2,Buga
Mynte,420-03-6206,$8080404.64,1,3.1,Tumaco
Leenti,442-78-5070,$6099799.75,5,2.9,Tunja
Ntag,330-40-8514,$9281841.03,1,4.7,Valledupar
Linkbuzz,721-56-1812,$5144980.92,3,4.9,Leticia
Bluezoom,483-95-5787,$463708.65,2,3.0,Leticia
Zava,450-90-8070,$5637651.25,3,2.8,Duitama
Thoughtworks,897-23-5129,$4036834.26,1,2.8,Riohacha
Flipopia,418-87-6212,$8554425.30,1,2.1,El Aguila
Reallinks,238-66-8169,$7105175.76,3,1.0,Buenaventura
Fivespan,439-28-0830,$9456597.04,1,3.7,Manizales
Riffwire,431-77-8093,$5655448.08,2,1.7,Puerto Carreño
Twimbo,560-61-9557,$1787162.85,5,3.1,Yopal
Meeveo,238-65-3371,$4042294.51,1,3.4,Cartagena
Jetwire,556-44-3834,$5435217.10,5,1.6,Puerto Carreño
Yombu,430-09-1118,$8771437.02,3,3.1,Cartagena
Yabox,672-64-1234,$9525687.52,3,2.0,Villavicencio
Dablist,522-17-3926,$4325948.05,4,4.2,Soacha
Youtags,598-90-9162,$3158168.77,4,2.3,Manizales
Ailane,516-68-8342,$9791486.42,3,2.8,Girardot
Oloo,762-51-2880,$3996553.12,3,3.6,Yopal
Innojam,738-37-9184,$7712869.30,1,3.5,Jamundi
Twimbo,488-39-0920,$4292303.78,1,3.0,Jamundi
Zoombeat,125-79-0857,$4029342.79,3,3.5,Tulua
Fadeo,350-94-6949,$981366.76,1,3.0,Florencia
Rooxo,633-53-9191,$2578511.39,5,2.2,Valledupar
Mynte,772-49-3864,$2317861.62,1,2.0,Puerto Carreño
Mybuzz,641-35-3884,$8179273.02,4,1.7,Duitama
Quinu,865-32-0087,$105626.33,4,3.3,Florencia
Aimbu,605-60-9379,$1288505.22,1,3.9,Maicao
Babbleset,784-87-7075,$7477399.24,4,1.5,Giron
Cogibox,329-74-4563,$4352154.88,1,4.6,Barranquilla
Realmix,309-01-7770,$3192633.19,5,4.7,Mocoa
Einti,751-34-0226,$3138802.60,5,4.9,Barrancabermeja
Topicware,287-33-4328,$1819318.59,2,1.9,Barrancabermeja
Voolith,654-17-9108,$9835457.80,1,2.1,Buenaventura
Rooxo,352-23-8465,$4918839.01,5,3.1,Bogota
Wikido,370-57-2845,$8688843.44,3,1.0,Itagui
Aibox,292-60-3166,$4567810.29,3,1.1,Puerto Carreño
Skyble,791-61-1101,$1774688.15,3,1.5,Sincelejo Quibdo
Meevee,115-40-8771,$1840768.25,3,1.2,Ibague
Cogidoo,346-21-1152,$1645533.01,3,2.3,Bellavista
Brightdog,372-19-5233,$9589546.34,4,1.6,Palmira
Skyble,163-66-2930,$9504769.38,1,1.0,Bello
Dynabox,483-83-2982,$8425734.05,2,1.7,Zipaquira
Lazzy,316-68-5157,$7005499.50,2,2.8,Monteria
Riffpedia,586-21-2966,$4990592.99,3,2.6,Santa Marta
Kwinu,467-58-7556,$6615443.32,5,4.4,Mompos
Brainverse,491-86-5886,$1168306.51,4,3.4,Riohacha
Brainverse,370-54-9923,$5432172.56,4,2.6,Puerto Carreño
Twitternation,648-29-2389,$8383812.73,4,2.4,Soacha
Roombo,313-66-1980,$236045.73,5,1.4,Duitama
Twinte,889-76-1694,$9473682.00,3,2.3,Pereira
Dynava,125-80-9518,$1961871.35,4,1.3,Manizales
Izio,719-31-8465,$3224107.62,3,2.0,Mocoa
Zava,757-69-2197,$5927997.86,1,3.6,Bogota
Avaveo,480-05-0104,$777588.98,2,2.4,Barranquilla
Divanoodle,104-46-6124,$4711482.39,4,3.6,Maicao
Edgewire,519-22-9624,$6602925.86,3,2.9,Ipiales
Feedmix,319-35-7423,$815467.81,5,1.5,Giron
Yacero,407-13-1631,$886693.87,3,4.2,Itagui
Devbug,882-94-1912,$3093015.68,2,1.3,Puerto Carreño
Twinder,487-92-5592,$767014.26,2,3.4,Maicao
Wordtune,364-67-3221,$5853793.00,2,4.2,Leticia
Photofeed,522-53-9757,$8713279.56,3,2.1,Itagui
BlogXS,230-17-6431,$6242500.72,1,3.6,Itagui
BlogXS,601-72-6638,$495151.67,1,4.7,Cali
Bubbletube,502-96-4478,$8256794.63,2,3.3,Yumbo
Brightbean,418-12-2514,$5044915.46,5,1.9,Soledad
Jazzy,773-16-1312,$8254025.50,4,4.2,Tunja
Wordware,175-05-2658,$3291228.91,5,4.3,Palmira
Skynoodle,869-43-0627,$3646473.11,1,4.1,Puerto Carreño
Photolist,371-11-8403,$4492705.52,4,3.4,Bucaramanga
Jabberbean,294-35-8015,$5724593.21,3,4.8,Palmira
Voonyx,204-69-4646,$4838715.80,2,4.9,Ipiales
Skinder,189-18-3970,$9902854.17,5,3.4,Cali
Quatz,743-80-6109,$3384334.37,5,3.4,Cartagena
Edgepulse,888-81-4396,$5760109.25,5,2.9,Valledupar
Rhybox,151-19-2443,$6747309.39,1,4.6,Cartagena
Kwinu,452-18-5532,$527665.16,5,4.7,Envigado
Skyvu,119-99-4229,$1894612.52,1,4.8,Buga
Vimbo,205-26-5994,$6757935.14,3,2.3,Cartagena
Flipopia,140-06-3902,$9723798.33,2,3.2,Villavicencio
Photolist,805-99-4635,$8024599.94,4,3.0,Ocaña
Rhybox,241-67-8617,$9284088.50,5,4.3,Cartagena
DabZ,804-11-9960,$7957810.31,3,4.9,Bucaramanga
Feedmix,405-47-6929,$3339240.29,3,1.8,Ipiales
Ailane,710-69-9208,$9450786.86,4,4.7,Pasto
Babbleset,848-37-2642,$6873357.78,2,3.3,Puerto Carreño
Jaxbean,818-56-6551,$6454982.91,4,1.5,Florencia
Youspan,239-57-0687,$1736308.70,3,4.4,Popayan
Shuffledrive,534-23-2989,$2852220.05,3,2.7,Mocoa
Blogtag,862-40-7794,$1227005.46,5,2.7,Bogota
Roombo,501-80-3083,$3999056.55,4,3.6,Armenia
Thoughtbeat,707-02-9173,$5211232.08,5,4.6,Sincelejo Quibdo
Oloo,668-94-7181,$5381443.21,2,3.4,Villavicencio
Tambee,258-99-3063,$5429907.97,3,3.7,Barrancabermeja
Dabtype,561-19-8506,$9577772.66,4,1.4,Sincelejo Quibdo
Zooxo,300-50-9194,$1919919.36,2,2.9,Floridablanca
Photolist,720-53-6282,$5181808.11,2,4.2,Floridablanca
Twinte,471-02-2537,$850547.16,2,2.4,Giron
Dazzlesphere,605-99-7733,$5450383.84,1,2.0,Buenaventura
Jabbercube,615-04-0794,$8636288.69,2,1.6,Villavicencio
Ntag,839-82-9113,$7380895.24,4,2.3,Monteria
Yakidoo,129-65-4203,$6240609.90,4,4.4,Floridablanca
Rhynoodle,647-34-8527,$2435816.67,4,1.6,Riohacha
DabZ,101-90-0401,$8537455.31,4,4.0,Neiva
Eare,777-14-7595,$6534466.21,5,2.1,Zipaquira
Buzzbean,402-81-9166,$4379553.23,3,5.0,Mocoa
Vinte,827-07-3381,$4839196.09,3,4.9,Envigado
Flipstorm,497-69-4479,$3766823.15,5,4.7,Buenaventura
Shufflebeat,165-72-9981,$4157820.53,3,3.2,Barrancabermeja
Roombo,724-26-8733,$2172178.11,2,2.7,Zipaquira
Skinder,266-27-8322,$1578480.55,3,1.7,Popayan
Browsezoom,362-97-2509,$6971092.00,4,2.8,Buenaventura
Tagpad,191-06-3239,$2186571.76,2,1.5,Yumbo
Nlounge,807-45-7533,$2203520.77,1,3.9,Barrancabermeja
Fivechat,175-34-8978,$6392332.57,4,2.5,Neiva
Shuffledrive,485-43-7850,$9442162.20,5,2.2,Giron
Quaxo,323-88-3006,$7259438.80,3,5.0,Barrancabermeja
Fivechat,193-26-3302,$6746729.68,4,3.5,Barranquilla
Gigazoom,592-26-7902,$1684044.02,1,3.8,Buga
Fanoodle,590-74-0924,$9060147.62,1,3.6,Barranquilla
Plajo,528-03-4629,$3434430.21,3,3.7,Itagui
Eimbee,491-53-2750,$3457965.83,3,3.8,Riohacha
Vinte,504-96-5738,$526908.63,2,1.9,Zipaquira
Jabbercube,759-04-5796,$7345045.21,4,4.3,Fusagasuga
Jazzy,303-49-9289,$2435479.15,4,1.5,Ibague
Roodel,451-42-1686,$8300397.99,3,1.9,Tunja
Oloo,719-08-8155,$2597635.08,2,2.1,Itagui
Skipstorm,477-08-0868,$6331916.56,3,4.9,Mompos
Gigabox,838-79-1983,$9472116.27,4,3.0,Pereira
Riffpath,604-66-0834,$9169285.56,5,4.1,Mompos
Vipe,640-38-2676,$4123259.48,2,2.0,El Aguila
Skyndu,299-59-9839,$8849550.00,2,1.3,Jamundi
Meevee,469-41-5594,$8650376.92,4,2.9,Mompos
Tavu,739-45-0982,$463226.53,3,2.9,Santa Marta
Skajo,153-44-4746,$6810294.64,2,3.9,Mocoa
Flipbug,297-63-5510,$1090052.50,2,2.7,El Aguila
Wikibox,427-92-9238,$7383338.63,3,3.5,Armenia
Roomm,663-22-2108,$9292789.80,3,3.1,El Aguila
